Торговый код ценной бумаги;Краткое наименование эмитента ценной бумаги;Категория ценной бумаги (ао - акция обыкновенная, ап - акция привилегированная);"Государственный
регистрационный
номер выпуска
(дополнительного
выпуска)*";Объем выпуска, штук;Рыночная цена (3) на 30.09.2024, руб.;Капитализация, руб.;;;;
TGKA;"ПАО ""ТГК-1""";ао;1-01-03388-D;3 854 341 416 571;0,007594;29 269 868 717,44;;;;
TGKB;"ПАО ""ТГК-2""";ао;1-01-10420-A;1 458 404 850 747;0,008765;12 782 918 516,80;;;;
TGKBP;"ПАО ""ТГК-2""";ап;2-01-10420-A;16 500 533 681;0,01547;255 263 256,05;;;;
TGKN;"ПАО ""ТГК-14""";ао;1-01-22451-F;1 357 945 609 114;0,01154;15 670 692 329,18;;;;
TNSE;"ПАО ГК ""ТНС энерго""";ао;1-01-15521-A;13 668 239;2420;33 077 138 380,00;;;;
TORS;"ПАО ""Россети Томск""";ао;1-01-50128-A;3 819 315 580;0,718;2 742 268 586,44;;;;
TORSP;"ПАО ""Россети Томск""";ап;2-01-50128-A;576 693 000;0,442;254 898 306,00;;;;
TRMK;"ПАО ""ТМК""";ао;1-01-29031-H;1 052 000 000;121,86;128 196 720 000,00;;;;
TRNFP;"ПАО ""Транснефть""";ап;2-01-00206-A;155 487 500;1397,5;217 293 781 250,00;;;;
TTLK;"ПАО ""Таттелеком""";ао;1-02-50049-A;20 843 976 400;0,7325;15 268 212 713,00;;;;
TUZA;"ПАО ""ТЗА""";ао;1-01-30455-D;8 220 000;261;2 145 420 000,00;;;;
UGLD;"ПАО ""ЮГК""";ао;1-02-33010-D;222 778 849 052;0,7546;168 108 919 494,64;;;;
UKUZ;"ПАО ""Южный Кузбасс""";ао;1-02-10591-F;36 149 002;1246;45 041 656 492,00;;;;
UNAC;"ПАО ""ОАК""";ао;1-02-55306-E;994 436 434 417;0,77;765 716 054 501,09;;;;
UNKL;"ПАО ""Комбинат Южуралникель""";ао;1-01-00197-A;599 737;5330;3 196 598 210,00;;;;
